              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     668.750000	      47.500000	     589.214702	       1.674427	      -1.674427	      -0.134985	       0.080616	       1.134985	       0.080616
              2	                       K+	      99.750000	       8.250000	     103.603132	      -0.467046	       0.467046	       0.037191	       0.079631	       0.962809	       0.079631
              3	                      K0S	     100.000000	       8.000000	     101.087560	      -0.135945	       0.135945	       0.010759	       0.079139	       0.989241	       0.079139
              4	                phi(1020)	      12.750000	       1.590000	      12.937546	      -0.117953	       0.117953	       0.014496	       0.122898	       0.985504	       0.122898
              5	                        p	      30.750000	       2.500000	      38.425073	      -3.070029	       3.070029	       0.199741	       0.065062	       0.800259	       0.065062
              6	                   Lambda	      24.000000	       2.500000	      19.920139	       1.631944	      -1.631944	      -0.204811	       0.125501	       1.204811	       0.125501
              7	                     Ksi-	       3.335000	       0.238000	       2.944484	       1.640823	      -1.640823	      -0.132626	       0.080829	       1.132626	       0.080829
              8	                    Omega	       0.595000	       0.100000	       0.477448	       1.175516	      -1.175516	      -0.246208	       0.209447	       1.246208	       0.209447
              9	                 Deuteron	       0.097000	       0.018000	       0.112629	      -0.868300	       0.868300	       0.138768	       0.159816	       0.861232	       0.159816
             10	                      HE3	       0.000285	       0.000076	       0.000318	      -0.437277	       0.437277	       0.104430	       0.238819	       0.895570	       0.238819
             11	              HyperTriton	       0.000147	       0.000042	       0.000107	       0.955234	      -0.955234	      -0.375372	       0.392963	       1.375372	       0.392963
             12	                    Alpha	       0.000001	       0.000000	       0.000001	       0.666739	      -0.666739	      -0.508020	       0.761947	       1.508020	       0.761947
