              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     668.750000	      47.500000	     573.065275	       2.014415	      -2.014415	      -0.166970	       0.082888	       1.166970	       0.082888
              2	                       K+	      99.750000	       8.250000	     105.804610	      -0.733892	       0.733892	       0.057224	       0.077974	       0.942776	       0.077974
              3	                      K0S	     100.000000	       8.000000	     103.150520	      -0.393815	       0.393815	       0.030543	       0.077557	       0.969457	       0.077557
              4	                phi(1020)	      12.750000	       1.590000	      13.473665	      -0.455135	       0.455135	       0.053710	       0.118008	       0.946290	       0.118008
              5	                        p	      30.750000	       2.500000	      36.587495	      -2.334998	       2.334998	       0.159549	       0.068329	       0.840451	       0.068329
              6	                   Lambda	      24.000000	       2.500000	      20.155332	       1.537867	      -1.537867	      -0.190752	       0.124037	       1.190752	       0.124037
              7	                     Ksi-	       3.335000	       0.238000	       3.032778	       1.269842	      -1.269842	      -0.099652	       0.078476	       1.099652	       0.078476
              8	                    Omega	       0.595000	       0.100000	       0.491037	       1.039628	      -1.039628	      -0.211721	       0.203651	       1.211721	       0.203651
              9	                 Deuteron	       0.097000	       0.018000	       0.115547	      -1.030364	       1.030364	       0.160511	       0.155781	       0.839489	       0.155781
             10	                      HE3	       0.000285	       0.000076	       0.000323	      -0.496618	       0.496618	       0.116944	       0.235482	       0.883056	       0.235482
             11	              HyperTriton	       0.000147	       0.000042	       0.000108	       0.924993	      -0.924993	      -0.359220	       0.388348	       1.359220	       0.388348
             12	                    Alpha	       0.000001	       0.000000	       0.000001	       0.663186	      -0.663186	      -0.503949	       0.759890	       1.503949	       0.759890
