              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     668.750000	      47.500000	     598.497440	       1.479001	      -1.479001	      -0.117382	       0.079365	       1.117382	       0.079365
              2	                       K+	      99.750000	       8.250000	     107.503965	      -0.939875	       0.939875	       0.072127	       0.076741	       0.927873	       0.076741
              3	                      K0S	     100.000000	       8.000000	     104.607487	      -0.575936	       0.575936	       0.044045	       0.076476	       0.955955	       0.076476
              4	                phi(1020)	      12.750000	       1.590000	      13.917294	      -0.734147	       0.734147	       0.083874	       0.114246	       0.916126	       0.114246
              5	                        p	      30.750000	       2.500000	      33.134012	      -0.953605	       0.953605	       0.071951	       0.075451	       0.928049	       0.075451
              6	                   Lambda	      24.000000	       2.500000	      19.166039	       1.933584	      -1.933584	      -0.252215	       0.130439	       1.252215	       0.130439
              7	                     Ksi-	       3.335000	       0.238000	       3.123535	       0.888508	      -0.888508	      -0.067701	       0.076196	       1.067701	       0.076196
              8	                    Omega	       0.595000	       0.100000	       0.516660	       0.783400	      -0.783400	      -0.151628	       0.193551	       1.151628	       0.193551
              9	                 Deuteron	       0.097000	       0.018000	       0.121973	      -1.387364	       1.387364	       0.204739	       0.147574	       0.795261	       0.147574
             10	                      HE3	       0.000285	       0.000076	       0.000346	      -0.800649	       0.800649	       0.175942	       0.219749	       0.824058	       0.219749
             11	              HyperTriton	       0.000147	       0.000042	       0.000116	       0.732483	      -0.732483	      -0.264671	       0.361335	       1.264671	       0.361335
             12	                    Alpha	       0.000001	       0.000000	       0.000001	       0.547866	      -0.547866	      -0.382774	       0.698665	       1.382774	       0.698665
