         T[MeV]        p/pi_zw        p/pi_BW       p/pi_eBW
      20.000000   1.279439E-16   1.279580E-16   1.279453E-16
      21.000000   8.484948E-16   8.486331E-16   8.485097E-16
      22.000000   4.733919E-15   4.735022E-15   4.734041E-15
      23.000000   2.272618E-14   2.273353E-14   2.272702E-14
      24.000000   9.565910E-14   9.570099E-14   9.566394E-14
      25.000000   3.586537E-13   3.588613E-13   3.586778E-13
      26.000000   1.213876E-12   1.214785E-12   1.213980E-12
      27.000000   3.751151E-12   3.754720E-12   3.751555E-12
      28.000000   1.068766E-11   1.070036E-11   1.068906E-11
      29.000000   2.831265E-11   2.835401E-11   2.831703E-11
      30.000000   7.024645E-11   7.037090E-11   7.025894E-11
      31.000000   1.642752E-10   1.646236E-10   1.643079E-10
      32.000000   3.641139E-10   3.650275E-10   3.641923E-10
      33.000000   7.686731E-10   7.709305E-10   7.688465E-10
      34.000000   1.552236E-09   1.557519E-09   1.552588E-09
      35.000000   3.009849E-09   3.021611E-09   3.010501E-09
      36.000000   5.623124E-09   5.648141E-09   5.624198E-09
      37.000000   1.015249E-08   1.020351E-08   1.015399E-08
      38.000000   1.776263E-08   1.786272E-08   1.776411E-08
      39.000000   3.018834E-08   3.037780E-08   3.018816E-08
      40.000000   4.994828E-08   5.029518E-08   4.994210E-08
      41.000000   8.061401E-08   8.122991E-08   8.059196E-08
      42.000000   1.271413E-07   1.282040E-07   1.270830E-07
      43.000000   1.962703E-07   1.980556E-07   1.961364E-07
      44.000000   2.969995E-07   2.999252E-07   2.967178E-07
      45.000000   4.411380E-07   4.458226E-07   4.405821E-07
      46.000000   6.439388E-07   6.512785E-07   6.428952E-07
      47.000000   9.248137E-07   9.360818E-07   9.229338E-07
      48.000000   1.308130E-06   1.325103E-06   1.304861E-06
      49.000000   1.824087E-06   1.849197E-06   1.818573E-06
      50.000000   2.509666E-06   2.546196E-06   2.500618E-06
      51.000000   3.409653E-06   3.461959E-06   3.395164E-06
      52.000000   4.577721E-06   4.651505E-06   4.555033E-06
      53.000000   6.077571E-06   6.180196E-06   6.042762E-06
      54.000000   7.984118E-06   8.124966E-06   7.931706E-06
      55.000000   1.038471E-05   1.057559E-05   1.030715E-05
      56.000000   1.338036E-05   1.363600E-05   1.326744E-05
      57.000000   1.708703E-05   1.742554E-05   1.692507E-05
      58.000000   2.163686E-05   2.208033E-05   2.140783E-05
      59.000000   2.717943E-05   2.775453E-05   2.685981E-05
      60.000000   3.388297E-05   3.462161E-05   3.344246E-05
      61.000000   4.193556E-05   4.287556E-05   4.133549E-05
      62.000000   5.154624E-05   5.273210E-05   5.073781E-05
      63.000000   6.294610E-05   6.442973E-05   6.186831E-05
      64.000000   7.638927E-05   7.823079E-05   7.496655E-05
      65.000000   9.215385E-05   9.442238E-05   9.029339E-05
      66.000000   1.105427E-04   1.133172E-04   1.081314E-04
      67.000000   1.318842E-04   1.352541E-04   1.287855E-04
      68.000000   1.565328E-04   1.605991E-04   1.525828E-04
      69.000000   1.848694E-04   1.897452E-04   1.798729E-04
      70.000000   2.173020E-04   2.231133E-04   2.110280E-04
      71.000000   2.542656E-04   2.611518E-04   2.464426E-04
      72.000000   2.962221E-04   3.043372E-04   2.865333E-04
      73.000000   3.436608E-04   3.531733E-04   3.317379E-04
      74.000000   3.970974E-04   4.081912E-04   3.825156E-04
      75.000000   4.570741E-04   4.699488E-04   4.393455E-04
      76.000000   5.241587E-04   5.390298E-04   5.027260E-04
      77.000000   5.989437E-04   6.160433E-04   5.731740E-04
      78.000000   6.820458E-04   7.016221E-04   6.512232E-04
      79.000000   7.741043E-04   7.964220E-04   7.374234E-04
      80.000000   8.757798E-04   9.011198E-04   8.323385E-04
      81.000000   9.877530E-04   1.016412E-03   9.365453E-04
      82.000000   1.110723E-03   1.143014E-03   1.050632E-03
      83.000000   1.245404E-03   1.281655E-03   1.175195E-03
      84.000000   1.392527E-03   1.433079E-03   1.310839E-03
      85.000000   1.552832E-03   1.598042E-03   1.458174E-03
      86.000000   1.727071E-03   1.777308E-03   1.617815E-03
      87.000000   1.916003E-03   1.971647E-03   1.790374E-03
      88.000000   2.120391E-03   2.181833E-03   1.976465E-03
      89.000000   2.341000E-03   2.408640E-03   2.176699E-03
      90.000000   2.578593E-03   2.652840E-03   2.391680E-03
      91.000000   2.833931E-03   2.915199E-03   2.622005E-03
      92.000000   3.107765E-03   3.196474E-03   2.868259E-03
      93.000000   3.400838E-03   3.497410E-03   3.131016E-03
      94.000000   3.713878E-03   3.818737E-03   3.410835E-03
      95.000000   4.047597E-03   4.161167E-03   3.708256E-03
      96.000000   4.402687E-03   4.525387E-03   4.023801E-03
      97.000000   4.779814E-03   4.912063E-03   4.357970E-03
