     sqrts[GeV]         T[MeV]       muB[MeV]       muQ[MeV]       muS[MeV]        c2k/c1k          C_B,S       C_p,k_fd          C_Q,S       C_Q,k_fd          C_B,Q       C_p,Q_fd
       3.000000      79.956944     719.076416     -14.980419     136.105500       1.122078      -0.462064      -0.021015       0.277998       0.960196       0.413941       1.023630
       3.214558      86.058622     696.643532     -14.522063     134.191872       1.163425      -0.479186      -0.015012       0.257600       0.930132       0.407141       1.028422
       3.444461      91.890594     674.109420     -14.134588     132.176362       1.222472      -0.463972      -0.028107       0.276426       0.892004       0.396910       1.024954
       3.690806      97.446100     651.527413     -13.811157     130.027721       1.267946      -0.433069      -0.012967       0.280204       0.904463       0.404197       1.036058
       3.954770     102.720800     628.951301     -13.538836     127.722534       1.332031      -0.446334      -0.031126       0.279633       0.875669       0.398283       1.033051
       4.237613     107.712680     606.434816     -13.303353     125.246097       1.368894      -0.422896      -0.021188       0.302573       0.868494       0.384952       1.028680
       4.540684     112.421931     584.031126     -13.091349     122.592217       1.435058      -0.422832      -0.018181       0.296721       0.861811       0.379267       1.032983
       4.865430     116.850790     561.792331     -12.891327     119.762358       1.508306      -0.412786      -0.025573       0.289551       0.833353       0.375886       1.027177
       5.213402     121.003359     539.768991     -12.693929     116.764424       1.574235      -0.396199      -0.008004       0.320695       0.849229       0.372270       1.031252
       5.586261     124.885404     518.009675     -12.491886     113.611428       1.642130      -0.388704      -0.025091       0.311606       0.814972       0.360625       1.019859
       5.985787     128.504148     496.560552     -12.279839     110.320171       1.740710      -0.384340      -0.021074       0.311629       0.813609       0.358941       1.012644
       6.413886     131.868054     475.465032     -12.054089     106.910046       1.813128      -0.369349      -0.022864       0.321378       0.802845       0.360015       1.017089
       6.872603     134.986613     454.763448     -11.812345     103.402003       1.913731      -0.362215      -0.028767       0.333765       0.799351       0.352107       1.011477
       7.364127     137.870137     434.492802     -11.553487      99.817694       2.001617      -0.356778      -0.026640       0.329401       0.783498       0.347589       1.007809
       7.890804     140.529559     414.686564     -11.277344      96.178782       2.099589      -0.341214      -0.021376       0.338038       0.783185       0.344987       1.013090
       8.455149     142.976257     395.374527     -10.984505      92.506401       2.210695      -0.342169      -0.024506       0.328258       0.754153       0.339979       1.006571
       9.059855     145.221876     376.582721     -10.676144      88.820754       2.346256      -0.329289      -0.025939       0.342865       0.759926       0.330916       0.997209
       9.707810     147.278183     358.333383     -10.353878      85.140806       2.447501      -0.318877      -0.026739       0.335665       0.739780       0.332354       0.998844
      10.402106     149.156931     340.644977     -10.019634      81.484083       2.565587      -0.317126      -0.029501       0.344245       0.738845       0.331000       1.002168
      11.146057     150.869744     323.532258      -9.675541      77.866531       2.716370      -0.300329      -0.020033       0.346740       0.744531       0.332353       0.997782
      11.943215     152.428013     307.006384      -9.323841      74.302448       2.875500      -0.303890      -0.027180       0.349728       0.740947       0.318761       0.987086
      12.797386     153.842819     291.075061      -8.966802      70.804453       3.032580      -0.296229      -0.026345       0.349159       0.722988       0.325753       0.997589
      13.712646     155.124865     275.742719      -8.606662      67.383499       3.189113      -0.287752      -0.020489       0.358042       0.734704       0.322668       1.002443
      14.693365     156.284418     261.010715      -8.245572      64.048923       3.364478      -0.286450      -0.015067       0.357946       0.733008       0.316420       0.999698
      15.744224     157.331275     246.877551      -7.885557      60.808507       3.601788      -0.285650      -0.021234       0.355962       0.723031       0.311400       0.984901
      16.870240     158.274729     233.339112      -7.528485      57.668570       3.766519      -0.275828      -0.022399       0.360260       0.716310       0.305929       0.995545
      18.076788     159.123558     220.388905      -7.176049      54.634063       4.006961      -0.275763      -0.020028       0.367704       0.718613       0.307739       0.992925
      19.369627     159.886006     208.018306      -6.829752      51.708677       4.256385      -0.267580      -0.018225       0.363232       0.715090       0.308293       1.003842
      20.754929     160.569793     196.216806      -6.490903      48.894955       4.516799      -0.267670      -0.022361       0.366418       0.722949       0.296139       0.974301
      22.239307     161.182108     184.972252      -6.160617      46.194408       4.777022      -0.265103      -0.021672       0.368393       0.714264       0.299145       0.987907
      23.829847     161.729628     174.271080      -5.839820      43.607623       5.038228      -0.264770      -0.017690       0.370745       0.716679       0.293365       0.977890
      25.534141     162.218530     164.098538      -5.529261      41.134377       5.408748      -0.256093      -0.016437       0.374574       0.724787       0.300137       0.993619
      27.360325     162.654508     154.438900      -5.229519      38.773739       5.743248      -0.254777      -0.017253       0.376773       0.719622       0.294769       0.984752
      29.317117     163.042795     145.275661      -4.941020      36.524170       6.025397      -0.260132      -0.023329       0.366802       0.711609       0.291441       0.993830
      31.413856     163.388186     136.591724      -4.664050      34.383619       6.421479      -0.259351      -0.022312       0.371755       0.709869       0.286211       0.983516
      33.660554     163.695062     128.369564      -4.398771      32.349600       6.854667      -0.252826      -0.018373       0.370030       0.708827       0.291910       0.984126
      36.067933     163.967414     120.591388      -4.145235      30.419283       7.273212      -0.248787      -0.018637       0.382615       0.716223       0.296828       1.003276
      38.647487     164.208870     113.239264      -3.903399      28.589550       7.841831      -0.251502      -0.019427       0.372992       0.715463       0.297198       0.998827
      41.411528     164.422717     106.295254      -3.673140      26.857073       8.355878      -0.249832      -0.016025       0.381278       0.713129       0.292360       1.001794
      44.373252     164.611931      99.741513      -3.454265      25.218358       8.812495      -0.251721      -0.021623       0.373138       0.701048       0.280894       0.988483
      47.546796     164.779196      93.560390      -3.246527      23.669802       9.410810      -0.249056      -0.019246       0.378131       0.708459       0.281557       0.988555
      50.947310     164.926929      87.734505      -3.049632      22.207735      10.036461      -0.247199      -0.018640       0.378220       0.708684       0.274044       0.982036
      54.591026     165.057304      82.246822      -2.863249      20.828455      10.690200      -0.248058      -0.018010       0.379301       0.703442       0.288514       1.004959
      58.495338     165.172270      77.080705      -2.687023      19.528262      11.340387      -0.245625      -0.016900       0.372914       0.704875       0.281637       0.992996
      62.678884     165.273573      72.219965      -2.520576      18.303486      12.252604      -0.245813      -0.020400       0.378901       0.706209       0.274413       0.985002
      67.161634     165.362774      67.648899      -2.363519      17.150507      13.129336      -0.242132      -0.017604       0.384031       0.714859       0.285231       0.991747
      71.964988     165.441267      63.352321      -2.215452      16.065776      13.899997      -0.243476      -0.017925       0.378964       0.706553       0.286892       0.994697
      77.111873     165.510295      59.315581      -2.075974      15.045828      14.853091      -0.245077      -0.017752       0.377655       0.706154       0.284088       0.993460
      82.626861     165.570962      55.524583      -1.944685      14.087296      15.819208      -0.239519      -0.016575       0.388657       0.712243       0.274489       0.984652
      88.536277     165.624252      51.965794      -1.821189      13.186920      17.106561      -0.238960      -0.014771       0.385570       0.719161       0.276609       0.990022
      94.868330     165.671037      48.626245      -1.705093      12.341554      18.178909      -0.244484      -0.021976       0.380786       0.707494       0.271694       0.974220
     101.653247     165.712090      45.493537      -1.596019      11.548169      19.508519      -0.242922      -0.016377       0.383385       0.707476       0.281501       1.007916
     108.923416     165.748097      42.555832      -1.493593      10.803860      21.099922      -0.243050      -0.020033       0.378233       0.714434       0.282204       0.981312
     116.713543     165.779665      39.801846      -1.397458      10.105842      22.147928      -0.245110      -0.016926       0.373315       0.708525       0.284053       0.991735
     125.060815     165.807329      37.220841      -1.307266       9.451459      24.181705      -0.239066      -0.016192       0.386535       0.715669       0.287515       0.994128
     134.005078     165.831562      34.802612      -1.222684       8.838172      25.557083      -0.238995      -0.018525       0.384571       0.720185       0.277173       0.984555
     143.589028     165.852783      32.537472      -1.143393       8.263569      27.198779      -0.242647      -0.019055       0.380547       0.705547       0.285354       1.003303
     153.858415     165.871359      30.416237      -1.069086       7.725355      29.360899      -0.241934      -0.017671       0.375246       0.707733       0.280475       0.984128
     164.862262     165.887615      28.430211      -0.999473       7.221352      30.602507      -0.243043      -0.017469       0.383322       0.705112       0.270725       0.986987
     176.653097     165.901836      26.571165      -0.934275       6.749496      33.768413      -0.240970      -0.017746       0.380951       0.695240       0.282040       0.997430
     189.287203     165.914273      24.831322      -0.873229       6.307832      34.726323      -0.242373      -0.015404       0.383857       0.719998       0.284860       1.010595
     202.824893     165.925148      23.203340      -0.816084       5.894511      37.267223      -0.240297      -0.020292       0.380258       0.707640       0.280217       0.989661
     217.330788     165.934653      21.680287      -0.762603       5.507788      40.372485      -0.239636      -0.019533       0.379869       0.710316       0.284075       1.003490
     232.874135     165.942961      20.255630      -0.712561       5.146014      43.368244      -0.241885      -0.017373       0.377797       0.710309       0.277266       0.983113
     249.529131     165.950219      18.923213      -0.665746       4.807635      46.955454      -0.240116      -0.014292       0.380152       0.705435       0.277194       1.002859
     267.375281     165.956559      17.677240      -0.621957       4.491185      50.033122      -0.240115      -0.015333       0.383237       0.710005       0.284226       0.988958
     286.497776     165.962097      16.512255      -0.581007       4.195286      52.015618      -0.242885      -0.021500       0.381234       0.703184       0.271609       0.983672
     306.987898     165.966933      15.423129      -0.542715       3.918639      57.790487      -0.237928      -0.020093       0.381254       0.707876       0.273366       0.980333
     328.943459     165.971155      14.405038      -0.506916       3.660023      62.043043      -0.244932      -0.020003       0.377978       0.701852       0.278147       0.992780
     352.469266     165.974840      13.453453      -0.473450       3.418290      65.720818      -0.239929      -0.015792       0.381246       0.718118       0.281963       1.009685
     377.677624     165.978057      12.564118      -0.442170       3.192363      69.972621      -0.241017      -0.018330       0.383029       0.705343       0.273536       0.987753
     404.688865     165.980864      11.733040      -0.412935       2.981228      74.483387      -0.240398      -0.018271       0.382531       0.703149       0.279568       0.994297
     433.631931     165.983313      10.956470      -0.385616       2.783935      79.794648      -0.245282      -0.024146       0.377663       0.699616       0.273352       0.993182
     464.644986     165.985450      10.230893      -0.360088       2.599593      86.877561      -0.238127      -0.015907       0.380213       0.695905       0.284489       1.006376
     497.876072     165.987314       9.553012      -0.336237       2.427365      93.050228      -0.241825      -0.015754       0.385312       0.716144       0.276143       0.981564
     533.483823     165.988941       8.919738      -0.313953       2.266467     100.415143      -0.243831      -0.020819       0.385990       0.708901       0.270133       0.984672
     571.638215     165.990359       8.328174      -0.293137       2.116164     104.917902      -0.239948      -0.018137       0.374440       0.699594       0.289050       1.001927
     612.521383     165.991596       7.775609      -0.273691       1.975767     120.643868      -0.241212      -0.022442       0.373147       0.692059       0.282487       0.988718
     656.328487     165.992675       7.259501      -0.255528       1.844633     114.832852      -0.240003      -0.015572       0.383320       0.715870       0.278181       0.995652
     703.268645     165.993615       6.777471      -0.238564       1.722155     132.253862      -0.239740      -0.015625       0.382486       0.716076       0.276359       0.994254
     753.565929     165.994435       6.327292      -0.222720       1.607769     141.492873      -0.238078      -0.015380       0.387162       0.718240       0.288870       1.006302
     807.460441     165.995150       5.906880      -0.207923       1.500946     140.986220      -0.238594      -0.019830       0.381354       0.703052       0.281330       0.994729
     865.209451     165.995773       5.514283      -0.194105       1.401190     159.818404      -0.240878      -0.020478       0.384813       0.703136       0.268732       0.983023
     927.088630     165.996317       5.147677      -0.181202       1.308037     177.552524      -0.240063      -0.018368       0.383138       0.712304       0.284399       0.996721
     993.393364     165.996790       4.805354      -0.169153       1.221054     159.820412      -0.237720      -0.018776       0.389980       0.716946       0.279318       0.991571
